Username,Comment
@warikoo,"My Money Apps: https://bit.ly/3Zg56eR

My bestselling books:
‘GET EPIC SHIT DONE’: https://ankurwarikoo.com/getepicshitdone 
‘Do Epic Shit’: https://ankurwarikoo.com/doepicshit 

My gear for shooting this video: 
🎥 Sony a7III camera: https://bit.ly/3M42wAV
🎬 Sony FE 24-70 f2.8 Lens: https://bit.ly/3KCCiF0
🎙 Shure SM7B Microphone: https://bit.ly/3O1NAVA
🔆 Fill Light 60W: https://bit.ly/37aJolP
💡 Key Light 150W: https://bit.ly/3O9nyjs
📽 Benro IT15 Tripod for Sony a7III camera: https://bit.ly/3O4PvJ1

Useful links:
20 books for your 20s: https://bit.ly/WarikooBooks
20 online courses for your 20s: https://bit.ly/WarikooOnlineCourses
Gadgets that I use: https://bit.ly/WarikooGadgets

The above links are on Amazon.
If you buy any of these using the above links, I stand to make affiliate income from it. 100% of this income is contributed towards the education of kids who cannot afford it. In 2021 we contributed 38L and in 2022 we contributed 53L."
@anuragnanda62,Lol
@Raj-bq7rm,13:13
@MuhammadAsim-wq6lb,Wonderfull
@ayushshukla651,"The 90 days English learning challenge:- 
Week 1 - Wrtie and  share your thoughts and  ask questions to chat gpt in simple language. 
Exm: how was your day? Etc

Week 2 - Listen to a podcast & share it in text with gpt. Ask for grammatical mistakes, corrections and feedback.

Week 3 - Read some article or blog or any, share what you understood to gpt & get feedback.

Week 4 - Have real life conversation, take gpt help for phrases, idioms etc.

Week 5&6 - Ask random questions / doubts. Improve your vocabulary.

Week 7&8 - Pronunciation (do it in google as gpt replies in only text)

Week 9&10 - Discuss with other, record video/ audio in english.

Week 11&12 - Talk to native speakers or with friends& family who can speek fluent English.

Do it for atleast 15- 20 minutes a day for 90 days."
@2minutestechnical,"Aisha nhi hai hai ham English sheekh nhi shakte hai bas kabhi iske baare me achhe se kosis hi nhi ki hai ,,,"
@Krishan_K_B,Sir ye Jo 90 din ka task aapka HOTA hai bohat achha . please continue...and thank you.
@saadalikhan8356,It's such a great video sir
@yash_sharma767,thnx sir me kafi time se youtube se dkh rha tha ki konsa shi vdo ho ga jo english sikhne ke liye help kare ga finally apka full vdo dkha or ab clear hai kya karna h mujhe
@RockySinghaniyaRocky,12:43am29/11/23
@hukamsingh2758,😂😂😂😂😂
@user-oz2wn3lj5s,😁😁😁😁😁😁 কেনো  যার ইচ্ছা পয়সা দিয়ে সিখবে ফিরিতে কিছু ভালো হয় না
@anshisingh2499,Iske liye shyd hame chat gtp pe Jake signup krne ki jrurt ni h kyunki Snapchat vala AI bhi English me baat krta h mai to usi se kam chala leti hu😂
@darknesswithin0,How desparate is this guy!?
@govindjoshi8171,He is Genius
@anujajaiswal5297,Link is not working Sir
@user-sk7pr5bn1z,But sir mere ko English aati hai pr bol nhi pati or jyada aata bhi nhi hai
@yourdailymotivation_Official,You are a great mentor ❤
@nileshtayade4557,Yahoo chat room ki yaad aa gayi 😅
@abdulkuddus5697,Thank you brother for this video.
@emransenglishacademy,Excellent ❤
@user-eb1mr5dv1k,इंग्लिश भाषा पढ़ाई देने वाले मॉ अनपढ़ गंवार  अच्छी है तो फांस आस्ट्रेलिया ने इंग्लैंड २०साल आगे कि राजनीति सफल हो लेकिन जब तक यह अनपढ़ गंवार मॉ जिंदा है तब तक वह किसी के थाली का डिनर नंबर नहीं लगा सकते है यह नियोजन करने वाले लोगों बताये  जीतने बार बंद करेंगे उतनें नये नाम तैयार होंगे जबलपुर वाले  आस्ट्रेलिया को जिता दिया गया है जो और डाव खेला गया है आगे बचें हुए जीवन के तमाशा के लिए तो आप कि इंग्लिश आप को  के लिए
@uzmashah1839,khud bolnay ki practice krnay kliye tu insaan ki hi zrurt hi hogi na?
@Kulwant_Kapoor,"Fir ठगना चालू , TIME Managment k baad 

Naya 
ठग method"
@arskillsplayz947,What about Grammer 😢
@yakufc,Yap
@intsarulhaq2497,Such a informative video for Speaking English language
@rohnjambo,"Sir, what a wonderful & amazing tutorial in a very simplified way, I think this is one of the best English tutorial video in entire YouTube.
👆 is my sentence is correct please tell me. 😊"
@sakuna007,Qab ek month wali video pls😅
@AnjaliGond-pt9bt,Sir ji bilkul English nhi ati h to kya kre
@nisarali5214,Yes
@nisarali5214,Are you fantasting teacher...
@mdRabbe-jd5zk,"I have one question,chatgpt ko English mein question karne ke liye pehle kaha sikhe?kaha jai?🙃"
